number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontypeprice 1976,edition 1976,price 1977,edition 1977,price 1978,edition 1978,price 1979,edition 1979,price 1980,edition 1980
850,Здоровье,Деи соолук,Ежемес.науч.-попул. ил. журн. М-ва здравоохранения КнргССР.,М-ва здравоохранения КнргССР.,1960,— Фрунзе :Ала-Too,1976—	. — Кнрг. яз.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,20.0,106099.0,20.0,108440.0,20.0,108832.0,20.0,111069.0,20.0,111000.0
851,Здоровье мира,,Офнц. пл. журн.ВОЗ.,ВОЗ.,1948,— [Женева],"1976—Изд. на рус. яз. с сент. 1960. (Пер. жури, на рус. яз. сделан нзд-вом «Медицина» по поручению А4-ва здравоохранения СССР). Ежемес. Парал. загл. на англ. яз. : World Health. Выходит также в'др. странах па англ., араб., исп., пт., нем., перс., португ. и фр. яз. Подзаг.: 1976—1978 окт., дек. Жури. ВОЗ.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,27.0,,27.0,,27.0,,27.0,,27.0,
852,Здравоохранение,Sveikatos ар-sauga,Ежемес. журн. А4-ва здравоохранения ЛитССР.,А4-ва здравоохранения ЛитССР.,1956,— Вильнюс,"731976—	. — Литов, яз., рез. на рус. яз.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,9840.0,30.0,10130.0,30.0,10420.0,30.0,10337.0,30.0,10247.0
853,Здравоохранение,Арохчапаутюн,"Науч.-практ., орг.-метод. жури. М-ва здравоохранения АрмССР.","Здравоохранение = Арохчапаутюн : Науч.-практ., орг.-метод. жури. М-ва здравоохранения АрмССР.",1956,—	Ереван,"1976—Двухмес. Арм. яз. Подзаг.: 1976 № 1—3 Науч.-теорет., орг.-метод. ...30 к. №.1976. 95.050 экз.; 1977—1978. 100.030 экз.; 1979—1980. 100.060 экз.Прил.: на страницах жури, ежемес. печатается нумер, прил. «Популярные беседы = Анраматчелн зруйцнер»",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,95050.0,30.0,100030.0,30.0,100030.0,30.0,100060.0,30.0,100060.0
854,Здравоохранение,Окротнря сэнэ-тэций,Двухмес. науч.-практ. жури. Орган М-ва здравоохранения МССР.,Здравоохранение = Окротнря сэнэ-тэций : Двухмес. науч.-практ. жури. Орган М-ва здравоохранения МССР.,1958,—	Кишинев : Изд-во ЦК КП Молдавии,1976—Молд. яз. Выходит также на рус. яз. Подзаг.: 1976—1979 № 5 Орган М-ва...,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,8557.0,30.0,10261.0,30.0,10302.0,30.0,11552.0,30.0,9310.0
855,Здравоохранение,,Двухмес. науч.-практ. жури. Орган М-ва здравоохранения МССР.,Здравоохранение : Двухмес. науч.-практ. жури. Орган М-ва здравоохранения МССР.,1958,— Кишинев : Изд-воЦК КП Молдавии,1976—Выходит также на молд. яз. Подзаг.: 1976—1979 № 5 Орган М-ва...,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,10557.0,30.0,10546.0,30.0,9892.0,30.0,8818.0,30.0,8780.0
856,Здравоохранение Белоруссии,,На-уч.-практ. ежемес. жури. Орган А4-ва здравоохранения БССР.,Здравоохранение Белоруссии : На-уч.-практ. ежемес. жури. Орган А4-ва здравоохранения БССР.,1924,—Минск:Полымя,1976—	. — Рез: на англ. яз.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,20387.0,30.0,20188.0,30.0,20533.0,30.0,19606.0,30.0,18860.0
857,Здравоохранение КазахстанаЖурн. М-ва здравоохранения КазССР.,,,Здравоохранение КазахстанаЖурн. М-ва здравоохранения КазССР.,1923,— Алма-Ата,1976—,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,15080.0,30.0,14979.0,30.0,14130.0,30.0,13166.0,30.0,12576.0
858,Здравоохранение Киргизии,,Науч.-практ. мед. журн.,/ М-во здравоохранения КиргССР.,1938,— Фрунзе : Ала-Тоо,1976—	. — Двухмес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,9037.0,35.0,7363.0,35.0,7842.0,35.0,6713.0,35.0,9037.0
859,Здравоохранение Российской Феде-рации,,Ежемес. науч.-практ. журн.,/ М-во здравоохранения РСФСР.,1957,—М. : Медицина,1976—	. — Подзаг.:1976—1978 отсутствует.74,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,25.0,7411.0,25.0,7332.0,25.0,9644.0,25.0,7528.0,25.0,8675.0
860,Здравоохранение Советской Эстонии,N5ukogude Eesti Tervishoid,Орган М-ва здравоохранения ЭССР.,Здравоохранение Советской Эстонии = N5ukogude Eesti Tervishoid : Орган М-ва здравоохранения ЭССР.,1958,—	Таллин : Периодика,"1976—Двухмес. Эст. яз., рез. на англ, и рус. яз.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,5450.0,40.0,5850.0,40.0,5925.0,40.0,5900.0,40.0,5900.0
861,Здравоохранение Таджикистана,,861.	Здравоохранение Таджикистана,"/М-во здравоохранения ТаджССР, Респ. ком. Профсоюза медработников.",1933,—Душанбе,"1976—Двухмес.	Парал. загл. на тадж. яз. ;Ннгахдорнн	тандурустин Точикнстон.Рез. на англ, и тадж. яз.30 к. №.1976. 4.710—4.790 экз.; 1977.	4.680—4.755 экз.; 1978. 5.315—5.400 экз.; 1979. 5.540—5.600 экз.; 1980. 4.940 экз. — Указ, к каждому году",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,4750.0,30.0,4718.0,30.0,5358.0,30.0,5570.0,30.0,4940.0
862,Здравоохранение Туркменистана,,Орган М-ва здравоохранения ТССР.,Здравоохранение Туркменистана :Орган М-ва здравоохранения ТССР.,1957,— Ашхабад,"1976—	. — Еже-мес. — 30 к. №.1976.	5.251—6.195 экз.; 1977.	5.304—6.710 экз.; 1978. 5.406—6.240 экз.; 1979. 5.399—5.822 экз.; 1980. 5.051—5.978 экз. — Указ, к каждому году.При л.: 1977 к № 10. О проекте Конституции (Основного Закона) СССР и итогах его всенародного обсуждения",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Еже-мес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,5723.0,30.0,6007.0,30.0,5823.0,30.0,5611.0,30.0,5515.0
863,Казанский медицинский журнал,,Орган М-ва здравоохранения ТАССР и Совета науч. мед. о-в.,Казанский медицинский журнал :Орган М-ва здравоохранения ТАССР и Совета науч. мед. о-в.,1901,— Ка-зань : 14зд-во Татар. обкома КПСС,1976—	. — Двухмес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,7620.0,40.0,7257.0,40.0,8185.0,40.0,7335.0,40.0,7285.0
864,Клиническая медицина,,Ежемес.науч.-практ. журн.,/ М-во здравоохранения СССР.,1920,— М. : Медицина,1976—Рез. па англ. яз. Подзаг.: 1976— 1979 № 1 отсутствует.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,45852.0,60.0,44914.0,60.0,43342.0,60.0,40867.0,60.0,39945.0
865,Лабораторное дело,,Ежемес. науч.-практ. журн.,"/ М-во здравоохранения СССР, Всесоюз. науч. о-во врачеп-лаборантов.",1955,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,28462.0,30.0,28968.0,30.0,29781.0,30.0,28790.0,30.0,26516.0
866,Медицинская сестра,,Ежемес. мас-сово-практ. журн. для сред. мед. работай-ков,/ М-во здравоохранения РСФСР.,1942,— М. : Медицина,"1976—Подзаг.: 1976—1978 № 10 отсутствует; 1978 № 11, 12 Ежемес. науч.-практ. журн.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,10.0,709396.0,10.0,765576.0,10.0,683411.0,10.0,735301.0,10.0,741515.0
867,Медицинская техника,,Двухмес. на-уч.-техн. журн.,/ М-во мед. пром-стн и Все-союз. науч. мед.-техн. о-ва.,1967,—	М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976 — 1978 Науч.-техн. журн. М-ва мед. пром-стн СССР и Всесоюз. науч. мед.-техн. о-ва. Надзаг.: 1976—1978 отсутствует.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,5523.0,30.0,5383.0,30.0,5671.0,30.0,5709.0,30.0,5918.0
868,Медицинский журнал Узбекистана.,,,Медицинский журнал Узбекистана.,,—	. Ташкент : Медицина,1976		 Ежемес,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,16013.0,30.0,13365.0,30.0,13773.0,30.0,14449.0,30.0,15155.0
869,"Медицинский реферативный журнал Разд. 1. Внутренние болезни. Курортология, физиотерапия и лечебная физкультура. Спортивная медицина.",,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1957,— М.,Ежемес.1975 загл. разд. ... Спортивная медицина и врачебный контроль.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,100.0,5596.0,100.0,4184.0,150.0,4055.0,150.0,3790.0,150.0,3504.0
870,Медицинский реферативный журнал  Разд. 2. Туберкулез и пульмонология,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1960,— М.,Ежемес.Загл. разд.: 1976—1978 Разд. 2. Туберкулез.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,3417.0,50.0,2826.0,75.0,2641.0,75.0,2625.0,75.0,3027.0
871,Медицинский реферативный журнал Разд. 3. Медицинская микробиология. Медицинская вирусология. Медицинская паразитология. Эпидемиология. Инфекционные болезни. Антибиотики и химиотерапияс,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1960,— М.,.Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,100.0,2969.0,100.0,2436.0,150.0,2684.0,150.0,2723.0,150.0,2309.0
872,Медицинский реферативный журнал Разд. 4. Хирургия. Анестезиология и реаниматология. Травматология и ортопедия.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1960,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,85.0,6090.0,85.0,4939.0,125.0,4554.0,125.0,4327.0,125.0,4083.0
873,Медицинский реферативный журнал Разд. 5. Педиатрия.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1960,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,70.0,3938.0,70.0,2855.0,100.0,2851.0,100.0,2670.0,100.0,2579.0
874,Медицинский реферативный журнал Разд. 6. Онкология клиническая. Радиология медицинская. Рентгенология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1960,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,2476.0,79.0,2072.0,100.0,1736.0,100.0,1864.0,100.0,1745.0
875,Медицинский реферативный журнал Раздел. 7. Гигиена и санитария. Судебная медицина.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1960,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,85.0,2134.0,85.0,1801.0,125.0,1821.0,125.0,1716.0,125.0,1608.0
876,Медицинский реферативный журнал Разд. 8. Офтальмология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1963,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,4260.0,35.0,3518.0,50.0,3456.0,50.0,3316.0,50.0,3196.0
877,Медицинский реферативный журнал Разд. 9. Невропатология. Нейрохирургия.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1960,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,4059.0,50.0,3417.0,75.0,3249.0,75.0,3070.0,75.0,2996.0
878,Медицинский реферативный журнал Разд. 10. Акушерство. Гинекология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1960,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,70.0,4680.0,50.0,3800.0,75.0,3897.0,75.0,3764.0,75.0,3599.0
879,Медицинский реферативный журнал Разд. 11. Дерматология. Венерология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1963,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,3920.0,35.0,3295.0,50.0,3198.0,50.0,3152.0,50.0,3008.0
880,Медицинский реферативный журнал Разд. 12. Стоматология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1963,— М.,,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,4685.0,50.0,3836.0,50.0,3910.0,50.0,3731.0,50.0,3347.0
881,Медицинский реферативный журнал Разд. 13. Оториноларингология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1963,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,3336.0,50.0,2849.0,50.0,2844.0,50.0,2537.0,50.0,2620.0
882,Медицинский реферативный журнал Разд. 14. Психиатрия.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1969,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,4861.0,35.0,4084.0,50.0,4079.0,50.0,4089.0,50.0,3957.0
883,Медицинский реферативный журнал Разд. 15. Кардиология. Ревматология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1975,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,50.0,2569.0,50.0,2254.0,75.0,2432.0,75.0,2485.0,75.0,2555.0
884,Медицинский реферативный журнал Разд. 16. Социальная гигиена и организация здравоохранения. Санитарное просвещение. История медицины. Проблемы медицинской информации.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1969,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,70.0,2190.0,70.0,1991.0,100.0,2505.0,100.0,2563.0,100.0,2258.0
885,Медицинский реферативный журнал Разд. 17. Гастроэнтерология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1975,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,2483.0,35.0,2134.0,50.0,2364.0,50.0,2382.0,50.0,2343.0
886,Медицинский реферативный журнал Разд. 18. Гематология и переливание крови.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1975,— М.,,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,1737.0,35.0,1487.0,50.0,1557.0,50.0,1560.0,50.0,1489.0
887,Медицинский реферативный журнал Разд. 19. Урология. Оперативная нефрология.,,МРЖ,"/ М-во здравоохранения СССР, ВНИИ мед. и мед.-техн. информ.",1975,— М.,Ежемес.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,35.0,1867.0,35.0,2049.0,50.0,2240.0,50.0,2364.0,50.0,2409.0
