number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1977,edition 1977,price 1978,edition 1978,price 1979,edition 1979,price 1980,edition 1980
2094,"Методические рекомендации и указания по организации, учету и планированию аптечного дела",,,"/ М-во здравоохранения СССР, Рл. аптеч. -упр.",1969,— М. : Всесоюз. информ. бюро,"1977 —И з д. : 1977 — 1979 Всесоюз. конъюнкт.-информ. бюро.Беспл.1977 Вып. 1 — 6. 500 — 30.000 экз.; 1978 Вып. 1, 3, 6. 1.000 — 25.000 экз.; 1979 Вып. 2, 4, 5. 1.000 — 25.000 экз.;	1980Вып. 5. 23.000 экз.Вып. 6 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,15250.0,,15250.0,,15250.0,,15250.0
2095,"Методические рекомендации по приготовлению, анализу и использованию лекарственных препаратов",,,"/ М-во здравоохранения СССР, Гл. аптеч. упр.",,— М. : Всесоюз. информ. бюро,1977 —Двухмес. Изд. : 1977 — 1979 Всесоюз. конъюнкт.-информ. бюро.Бесил.1977. 30.000 — 50.000 экз.; 1978. 10.000 —30.000	экз.; 1979. 50.000 экз.; 1980. 30.000 —50.000	экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Двухмес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,40000.0,,20000.0,,50000.0,,40000.0
2096,Методические указания на определение вредных веществ в воздухе,,,/ НИИгигиены вод. трансп.,1960,—	М. : ЦРИА «Морфлот»,"1977 —Загл. : вып. 12 Методические указанияна методы определения ... И з д. : вып, 12 Рекламинформбюро ММФ.Вып. 12. 1977. Б. ц. 9.000 экз.; вып. 13.1979.	Б. ц 7.000 экз.Вып. 11 — 1976 Технические условия на методы определения вредных веществ в воздухе",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,9000.0,,,,9000.0,,
2097,Наставления и нормативные материалы по аптечному делу,,,"/ М-во здравоохранения СССР,. Гл. аптеч. упр.",1971,— М. : Всесоюз. информ. бюро,"1977	—Изд. : 1977 — 1979 Всесоюз. конъюнкт.-информ. бюро.Беспл.1977	Вып. 1 — 4. 15.000 — 50.000 экз.;1978	Вып. 1, 3, 5, 6. 2.600 — 30.000 экз.;1979	Вып. 2 — 4, 6. 11.000 — 33.000 экз.;1980	Вып. 2. 250 экз.Вып. 4 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,32500.0,,32500.0,,32500.0,,32500.0
2098,Новая медицинская техника,,,/ Все-союз. об-ние «Союзмедтехника».,1975,— М. : Всесоюз. контора«Союзторгмедтехника»,1977 —Подзаг.: № 4 — 9 Информ. письмо.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,1500.0,,1500.0,,3000.0,,20000.0
2099,Новые больницы за рубежом,,Сб. реф.,"/ ВНИИ мед. и мед.-техн. информ., Гос. проект, и НИИ ГипроНИИздрав.",1973,— М„ 1977 —Вып. 10,11 1979. 80 к. 700 экз.Вып. 9 — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,80.0,700.0,,,80.0,700.0,,
2100,Новые лекарственные препараты,,Экспресс-информация,/ ВНИИМИ.,1973,— М.,"1977 —	. — Ежемес.30 к. № (1977 20 к.)1977. 23.800 — 26.650 экз.; 1978. 29.430 — 43.880 экз.; 1979. 53.090 — 53.660 экз.; 1980. 38.700 — 39.520 экз. — Указ, к каждому году",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,20.0,25225.0,30.0,36655.0,30.0,53375.0,30.0,39110.0
2101,Обзор Всесоюзного центра по гриппу и ОРЗ,,,/ ВНИИ гриппа.,1971,—	Л.,1977“—	. — Ежекварт.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,500.0,,500.0,,500.0,10.0,500.0
2102,Обзор Регионального центра погриппу,,2102.	Обзор Регионального центра погриппу,/ Ин-т вирусологии им. Д. И. Ивановского.,1959,— М.,1977—	. —• Ежекварт.1977— 1980. 10 к. 300 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,300.0,10.0,300.0,10.0,300.0,10.0,300.0
2103,Обзорная информация Серия «Гигиена».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1976,— М.,"1977	№ 1 — 3, 3 [а]. 50 к. 1.200 —1.500	экз.; 1978 № 1 — 4. 75 к. 1.320	—1.500	экз.; 1979 № 1 — 4. 75 к. 1.425 —1.500	экз.; 1980 № 1 — 2. 60 к. 1.420 экз. № 4 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,50.0,1350.0,50.0,1350.0,50.0,1350.0,50.0,1350.0
2104,Обзорная информация Серия «Обзоры по важнейшим проблемам медицины».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1978,— М.,"1978	№ 1 — 4. 75 к. 1,875 — 2.050 экз.;1979	№ 1 — 4. 75 к. 2.500 — 3.100 экз.;1980	№ 1 — 4. 60 к. 2.850 — 3.050 экз",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,75.0,1463.0,75.0,1463.0,75.0,1463.0
2105,Обзорная информация Серия «Онкология».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1976,— М.,"1977	№ 1 — 3. 50 к. 1.350 — 1.500 экз.;1978	№	1.	75 к.	1.450 экз.,	№	2.	75	к.1.400 экз.; 1979 № 1 — 4. 75 к. 1.320 — 1.600 экз.; 1980 № 1 — 4.	60 — 75 к.1.420	— 1.450 экз.№ 3 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,50.0,1425.0,50.0,1425.0,50.0,1425.0,50.0,1425.0
2106,Обзорная информация Серия «Педиатрия».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1976,— М.,"1977	№ 1. 50 к. 1.760 экз.,. № 2. 50 к. 3.450 экз.; 1978 № 1. 75 к. 1.850 экз.;1979	№	1.	75 к.	1.950 экз.,	№	2.	75	к.2.000	экз.; 1980. № 1 — 2. 60 к. 2.020 экз.№ 2 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,50.0,1760.0,50.0,1760.0,50.0,1760.0,50.0,1760.0
2107,Обзорная информация Серия «Социальная гигиена и организация здравоохранения».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1976,— М.,"1977	№ 1 — 9. 50 к. 1.800 — 2.600 экз.;1978	№	1	— 7. 75 к. 2.080	—	2.200 экз.;1979	№	1, [1а]	— 5. 75	к. 2.000	—3.100 экз.; 1980 № 1 — 4.	60 к. — 1 р.2.420	— 4.630 экз.№ 8 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,50.0,2200.0,50.0,2200.0,50.0,2200.0,50.0,2200.0
2108,Обзорная информация Серия «Терапия».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1976,— М.,1977 № 1 — 8. 50 к. 2.400 — 2.800 экз.;1978	№ 1 — 7. 75 к. 2.550 — 4.000 экз.;1979	№ 1 — 7. .75 к. 2.750 — 4.000 экз.;1980	№ 1 — 7. 60 к. 3.050 — 3.300 экз.№ 7 — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,50.0,2600.0,50.0,2600.0,50.0,2600.0,50.0,2600.0
2109,Обзорная информация Серия «Фармакология и фармация».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1976,— М.,"1977	№ 1. 50 к. 2.600 экз., № 2.	50 к.2.050 экз.; 1978 № 1. 75 к. 2.650 экз., № 2. 75 к. 2.600 экз.; 1979 № 1. 75 к. 5.300 экз., № 2. 75 к. 5.250 экз.; 1980 № 1 — 2. 60 к. 4.150 экз.№ 2 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,50.0,2600.0,50.0,2600.0,50.0,2600.0,50.0,2600.0
2110,Обзорная информация Серия «Хирургия».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1976,— М.,1977 № 1 — 6. 50 к. 1.800 — 2.600 эк3.;1978	№	1	—	5.	75	к.	1.800	— 2.800	экз.;1979	№	1	—	4.	75	к.	1.800	— 2.200	экз.;1980	№ 1 — 5. 60 к. 2.000 — 2.170 экз.Лв 7 — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,50.0,2300.0,50.0,2300.0,50.0,2300.0,50.0,2300.0
2111,Обзорная информация Серия «Эпидемиология и инфекционные болезни».,,,/ ВНИИ мед. и мед.-техн. информ. : Науч. обзор! Медицина и здравоохранение.,1976,— М.,"1977 № 1 — 4. 50 к. 1.650 — 1.900 экз.;1978	№	1	—	4.	75	к.	1.750	— 1.900	экз.;1979	№	1	—	3.	75	к.	2.000	— 2.450	экз.;1980	№	1	—	2.	60	к.	1.850	экз.№ 4 — 1976.Изд. описано по обл., на тит. л. темат. загл",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,50.0,1775.0,50.0,1775.0,50.0,1775.0,50.0,1775.0
2112,Обзорная информация Серия Лекарственное растениеводство.,,,"/ М-во мед. пром-сти, ЦБНТИ медпром.",1976,— М.,"1977 № 1. 15 к. 310 экз., № 2.	16 к.310 экз.;	1978 № 1 —	4.	22	—	28	к.500 экз.;	1979 № 1 —	4.	29	—	41	к.750 экз.;	1980 №1-	4.	30	—	36	к.780 экз.№ 4 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,15.0,310.0,15.0,310.0,15.0,310.0,15.0,310.0
2113,Обзорная информация Серия Промышленность медицинскогостекла и пластических масс.,,,"/ М-во мед. пром-сти, ЦБНТИ медпром.",1972,— М.,1977 № 1 — 3. 24 — 35 к. 300 экз.;1978	№ 1 — 4. 23 — 55 к. 295 — 825 экз.;1979 № 1 — 4. 10 — 65 к. 300 экз.; 1980 № 1 — 4. 44 — 73 к. 330 экз.№ 3 — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,35.0,300.0,35.0,300.0,35.0,300.0,35.0,300.0
2114,Обзорная информация Серия Промышленность медицинской техники.,,,"/ М-во мед. пром-сти, ЦБНТИ медпром.",1971,— М.,1977	№ I — 10. 9 — 40 к. 450 —500 экз.; 1978 № 1 — 12.	16 — 62 к.480 — 980 экз.; 1979 № 1 — 12.	23 —47 к. 500 экз.; 1980 № 1 — 12.	23 —52 к. 520 — 1.005 экз.№ 11 — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,40.0,475.0,40.0,475.0,40.0,475.0,40.0,475.0
2115,Обзорная информация Серия Химико-фармацевтическая промышленность.,,,"/ М-во мед. пром-сти, ЦБНТИ медпром.",1971,— М.,1977 № 1 — 12. 7 — 28 к. 470 экз.;1978 № 1 — 12. 21 — 53 к. 470 — 740 экз.;1979	№ 1 — 12.	17 — 43 к. 500 —650 экз.; 1980 № 1 — 12.	23 — 50 к.515 — 950 экз.№ 12 — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,28.0,470.0,28.0,470.0,28.0,470.0,28.0,470.0
2116,Обмен опытом,,,"/ Магадан. обл. дом сан. просвещения, Магадан, обл. ком. О-ва Красного Креста.",1965,— Магадан : Кн. изд-во,1978 —Вып. 20. 1978. 15 к. 2.000 экз.; вып. 22. 1980. 15 к. 2.000 экз.Вып. 19 — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,15.0,2000.0,,,15.0,2000.0
2226,"Педагогическая психология, возрастная физиология, школьная гигиена, дефектология. М",См. 2226.,См. 2226.,См. 2226.,См. 2226.,См. 2226.,См. 2226.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,См. 2226.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,
2117,Реферативная информация Серия Врачебно-трудовая экспертиза и восстановление трудоспособности инвалидов.,,2117 Реферативная информация Серия Врачебно-трудовая экспертиза и восстановление трудоспособности инвалидов.,"/М-во соц. обеспечения РСФСР, Центр, от-расл. БНТИ и пропаганды.",1980,— М.,2 раза в год.1980. 30 к. 2.000 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,2 раза в год,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,30.0,2000.0
2118,Реферативная информация Серия Протезирование и протезострое-ние.,,2118 Реферативная информация Серия Протезирование и протезострое-ние.,"/М-во соц. обеспечения РСФСР, Центр, от-расл. БНТИ и пропаганды.",1972,— М.,Ежекварт. (1977 3 раза).1977. 8 — 45 к.'500 — 850 экз.; 1978. 14 — 62 к. 400 — 650 экз.; 1979. ' 11 — 42 к. 350 — 450 экз.; 1980. 15 — 66 к. 300 — 1.200 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,163.0,675.0,38.0,525.0,300.0,675.0,41.0,750.0
2119,Реферативная информация Серия	Лекарственное растениеводство.,,,"/М-во мед. пром-сти, ЦБНТИ медпром: Науч.-техн. реф. сб.",1976,— М.,. — Ежемес.1977. 5 — 10 к. 295 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,8.0,295.0,,,,,,
2120,Реферативная информация Серия Промышленность медицинского стекла и пластических масс.,,,"/М-во мед. пром-сти, ЦБНТИ медпром: Науч.-техн. реф. сб.",1970,— М.,"Ежекварт. Загл. серии: 1976 Промышленность ...1977. 8 — 11 к. 220 — 275 экз. — Указ, к году",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,248.0,,,,,,
2121,Реферативная информация Серия	Промышленность медицинскойтехники.,,,"/М-во мед. пром-сти, ЦБНТИ медпром: Науч.-техн. реф. сб.",1970,— М.,"Ежемес. Загл. серии: 1976 Промышленность ...1977. 8 — 13 к. 440 — 500 экз. — Указ, к году",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,11.0,470.0,,,,,,
2122,Реферативная информация Серия Химико-фармацевтическая промышленность.,,,"/М-во мед. пром-сти, ЦБНТИ медпром: Науч.-техн. реф. сб.",1970,— М.,". — Ежемес.1977. 9 — 15 к. 375 — 620 экз. — Указ, к году",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,12.0,498.0,,,,,,
2123,Сборник рационализаторских предложений и изобретений медицинских работников железнодорожного транспортаРеф. информ.,,2123. Сборник рационализаторских предложений и изобретений медицинских работников железнодорожного транспортаРеф. информ.,"/ ЦНИИ информ., техн.-экон. исслед. и пропаганды ж.-д. трансп.",,— М.,"1980 —1980	Вып. 1(20) — 3(22),	29 — 31 к.2.025 экз",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,31.0,2025.0
2124,Экспресс-информация Вирусология и вирусные инфекции.,,,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,"Указ, к каждому году каждой серии.  	. — Ежемес.",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,1505.0,15.0,1540.0,15.0,1520.0,15.0,1585.0
2125,Экспресс-информация Гематология и переливание крови.,,,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,. — Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,2275.0,15.0,2410.0,15.0,2460.0,15.0,2545.0
2126,Экспресс-информация Гигиена окружающей среды.,,,/ ВНИИ мед. и мед.-техн. информ.,1973,— М.,"По 1976 загл. серии: Гигиена внешней среды,",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,1555.0,15.0,19791680.0,,,15.0,1755.0
2127,Экспресс-информация Клиническая иммунология.,,,/ ВНИИ мед. и мед.-техн. информ.,1968,— М.,"Ежемес. Загл. серии: 1976 — 1979 Общая иммунология,",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,1665.0,15.0,1690.0,15.0,1660.0,15.0,1885.0
2128,Экспресс-информация Медицинская генетика.,,,/ ВНИИ мед. и мед.-техн. информ.,1973,— М.,Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,1340.0,15.0,1360.0,15.0,1390.0,15.0,1425.0
2129,Экспресс-информация Медицинская техника.,,2129 Экспресс-информация Медицинская техника.,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,.—Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,1875.0,15.0,2020.0,15.0,2480.0,15.0,2290.0
2130,Экспресс-информация Новости медицины и медицинской техники.,,,/ ВНИИ мед. и мед.-техн. информ.,1966,— М.,. — Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,30.0,3135.0,45.0,3145.0,45.0,3875.0,30.0,3920.0
2131,Экспресс-информация Онкология.,,,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,. — Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,2610.0,15.0,2730.0,15.0,2920.0,15.0,2863.0
2132,Экспресс-информация Побочное действие лекарственных веществ.,,,/ ВНИИ мед. и мед.-техн. информ.,1968,— М.,. — Ежемес.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,10.0,12105.0,15.0,15435.0,15.0,21903.0,15.0,19670.0
