number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontypeprice 1981,edition 1981,price 1982,edition 1982,price 1983,edition 1983,price 1984,edition 1984,price 1985,edition 1985
2531,Наставления и нормативные материалы по аптечному делу,,2531.	Наставления и нормативные материалы по аптечному делу,"/ М-во здравоохранения СССР, Гл. аптеч. упр.",1971,— М.,1981 —Беспл. Вып. 2/3. 1981. 30.000 экз.; Вып. 1 — 4. 1982.  1.000—30.000 экз.; Вып. 4—6. 1983.  1.000—19.000 экз.; Вып. 1—6. 1984.  1.000экз.; Вып. 1 — 4/5. 1985.  1.000—20.000 экз. Вып. 2 — 1980,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,30000.0,,15500.0,,10000.0,,1000.0,,10500.0
576,Нейтроны в биологии и медицине,См. 576.,См. 576.,См. 576.,См. 576.,См. 576.,См. 576.,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,См. 576.,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,,,,,,,,,
2532,Новая медицинская техника,,,/ Всесоюз. об-нне Союзмедтехника.,1975,— М.: Всесоюз. контораСоюзторгмед техника,1981 —[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,30000.0,,30000.0,,30000.0,,30000.0,,40000.0
2533,Новости медицины,,Экспресс-ин-формация,/ ВНИИ мед. и мед.-техн. пи-форм.,1966,— М.,"1981 —1985.Прекр. на вып. 11/12 1985. — Ежемес.— Загл.: 1980—1984 Экспресс-информация.— 3 а г л. сер и и:	1980—1984 Новости медицины и медицинской техники,",﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,45.0,3955.0,45.0,4303.0,45.0,4676.0,30.0,4650.0,30.0,5696.0
2534,Новые больницы за рубежом,,Сб.реф.,"/ ВНИИ мед. и мед.-техн. информ., Гос. проект, и НИИ ГипроНИИздрав.",1973,— М.,1983 —[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,,,,80.0,800.0,80.0,800.0,,
2535,Передовой опыт в промышленности медицинского стекла и пластических масс,,Экспресс-информация,"/ М-во мед. пром-сти, ЦБНТИ мед. пром-сти.",1978,— М.,1981 —Двухмес. (1981 ежекварт.) — Загл.: 1980—1984 Экспресс-информация.— Загл. серии:	1980—1984 Серия: Передовойопыт...[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Двухмес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,16.0,375.0,12.0,350.0,15.0,340.0,14.0,330.0,15.0,360.0
2536,Передовой опыт в промышленно-сти медицинской техники,,Экспресс-информация,"/ М-во мед. пром-сти, ЦБНТИ мед. пром-сти.",1975,— М.,1981Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980— 1984 Серия: Передовой опыт...[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,13.0,745.0,14.0,570.0,20.0,545.0,22.0,530.0,19.0,560.0
2537,Производство медицинского стек-ла и пластических масс за рубежом,,Экспресс-информация,"/ М-во мед. пром-сти, ЦБНТИ мед. пром-сти.",1978,—М.,"1981 —Ежемес. — Загл.: 1980—1984 Экспресс-информация. — 3 а г л. сер и и:	1980—1984 Серия: Производство ...1981. 14—28 к. 300—350 экз.; 1982. 14—21	к. 280—540 экз.; 1983. 19—28 к. 300 экз.; 1984. 15—30 к. 280—330 экз.; 1985. 19—33 к. 300 экз. — Указ, к каждому году",﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,21.0,325.0,28.0,325.0,24.0,300.0,23.0,305.0,26.0,300.0
2538,Производство медицинской техни-ки за рубежом,,Экспресс-информация,"/ М-во мед. пром-сти, ЦБНТИ мед. пром-сти.",1975,— М.,"1981 —2 раза в мес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980—1984 Серия: Производство...1981. 9—23 к. 530—580 экз.; 1982. 8—22	к. 540 экз.; 1983. 10—21 к. 530 экз.; 1984. 11—27 к. 530—580 экз.; 1985. 15— 28 к. 530—590 экз. — Указ, к каждому году",﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,2 раза в мес.,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,16.0,555.0,200.0,555.0,16.0,530.0,19.0,555.0,22.0,560.0
2539,Промышленность медицинскогостекла и пластических масс,,"Обзор, информ.","/ М-во мед. пром-сти, ЦБНТИ мед. пром-сти.",1972,— М.,1981Ежекварт. — Загл.: 1980—1984 Обзорная информация. — Загл. серин: 1980	1984 Серия: Промышленность...[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,46.0,350.0,36.0,325.0,37.0,300.0,47.0,310.0,41.0,340.0
2540,Промышленность медицинскойтехники,,"Обзор, информ.",/ М-во мод.пром-сти. ЦБНТИ мед. пром-сти.,1971,— М.,1981 —1 раз в год (1981 —1983 К) раз в год). — Загл.: 1980—1984 Обзорная информация1. — Загл. серии: 1980—1984 Серия: П ром ы ш л е н и ост i >...[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,1 раз в год,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,38.0,680.0,34.0,635.0,60.0,560.0,36.0,530.0,57.0,740.0
2541,Сборник рационализаторских предложений и изобретений медицинских ра-ботников железнодорожного транспорта,,Реф. информ.,"/ ВНИИ ж.-д. гигиены, ЦНИИ информ.. техн.-экон. исслед. и пропаганды ж.-д. трансп.",1981,— М.,1981 Вып. 2. 30 к. 2.025 экз.; 1982 Вып. 1(24). 30 к. 2.000 экз.; 1983 Вып. 1(25). 25 к. 2 000 экз.Вып. 3(22) — 1980,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,30.0,2025.0,30.0,2025.0,30.0,2025.0,,,,
2542,Совершенствование организациимедицинской помощи населению,,Экспресс-информация,/ ВНИИ мед. и мед.-техн. информ.,1984,— М.,1984 —Ежемес. — Загл.: 1984 Экспресс-информация. — Загл. серии: 1984 Совершенствование организации медицинской помощи населению.,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,,,,,,30.0,4030.0,30.0,3920.0
2543,Социальная гигиена и организа-ция здравоохранения,,Экспресс-информация,/ ВНИИ мед. и мед.-техн. информ.,1971,— М.,1981 —Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980— 1984 Социальная гигиена и организация здравоохранения.,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,3499.0,15.0,3813.0,15.0,3499.0,20.0,3766.0,20.0,3491.0
90,Социальное обеспечение,См. 90.,См. 90.,См. 90.,См. 90.,См. 90.,См. 90.,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,См. 90.,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,,,,,,,,,
2544,Экспресс-информация,,,/ ВНИИмед. и мед.-техн. информ.,,— М.,"1981 — Медицинская техника. — 1967 — 1984.Прекр. на вып, 12 1984. — Ежемес.",﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,2356.0,15.0,2527.0,15.0,2363.0,20.0,2069.0,,
2545,Экспресс-информация,,,/ Гипро-НИИздрав.,,— М.,"1981Надзаг.: № 55—57 ВНИИ мед. и мед.-техн. информ., Гос. проект, и НИИ ГипроНИ! 1здрав.№ 56. 1981. 30 к. 8С0 экз.; № 57. 1982. 50 к. 700 экз.; № 58. 1983. 20 к. 600 экз.№ 55 — 1980.Медико-биологические дисциплин",﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,30.0,,50.0,700.0,20.0,600.0,,,,
2546,Информационное письмо об ос-ложнениях и побочных реакциях медикаментозной терапии,,2546.	Информационное письмо об ос-ложнениях и побочных реакциях медикаментозной терапии,"/ Всесоюз. центр по изуч. побоч. действия лекарств, средств.",1981,— М.,1981 —По полугодиям.1981—1982. Б. ц. 1 000 экз.; 1983. Б. ц. 800 экз,Медико-биологические дисциплины,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,1000.0,,1000.0,,1000.0,,,,
2547,Лекарственное растениеводство,,"Обзор, информ.","/ М-во мед. пром-етн,ЦБНТИ мед. пром-сти.",1976,—М.,1981 —Ежекварт. — Загл.: 1980—1984 Обзорная информация. — 3 а г л. се р и и: 1980— 1984 Серия: Лекарственное растениеводство.[,Медико-биологические дисциплины,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,41.0,765.0,34.0,680.0,50.0,660.0,45.0,760.0,54.0,718.0
2548,Лекарственное растениеводство,,Экспресс-информация,"/ М-во мед. пром-сти, ЦБНТИ мед. пром-сти.",1978,— М.,1981 —Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980— 1984 Серия: Лекарственное растениеводство.[,Медико-биологические дисциплины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,9.0,990.0,15.0,990.0,13.0,1045.0,13.0,805.0,12.0,850.0
2549,Медицинская генетика,,Экспресс-информация,/ ВНИИ мед. и мед.-техн. информ.,1973,— М.,1981 —Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. сери и: 1980— 1984 Медицинская генетика.,Медико-биологические дисциплины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,1335.0,15.0,1247.0,15.0,1326.0,20.0,1134.0,20.0,1178.0
2550,"Методические рекомендации по приготовлению, анализу и использованию лекарственных препаратов",,,/ М-во здравоохранения СССР. Гл. аптеч. упр.,,— М.: Всесоюз. информ. бюро,1981 —Двухмес.,Медико-биологические дисциплины,Двухмес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,30000.0,,22500.0,,30000.0,,30000.0,,42500.0
2551,Новые лекарственные препараты,,Экспресс-информация,/ ВНИИМИ.,1973,— М.,1981 —Ежемес.[,Медико-биологические дисциплины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,40.0,45388.0,40.0,40520.0,40.0,46880.0,40.0,45834.0,40.0,45242.0
2552,Побочные действия лекарственных веществ,,Экспресс-информация,/ ВНИИмед. и мед.-техн. информ.,1968,—	М.,1981 —Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980— 1984 Побочное действие лекарственных веществ.,Медико-биологические дисциплины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,23403.0,15.0,22688.0,15.0,26533.0,20.0,23403.0,20.0,25628.0
2553,Терапия,,Экспресс-информация,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,"1981 —Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980—1984	Ревматология,",Медико-биологические дисциплины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,2888.0,15.0,2961.0,15.0,3298.0,20.0,3004.0,20.0,3102.0
2554,Гематология и трансфузиология,,Экспресс-информация,/ ВНИИ мед. и мед.-техн. информ.,1967,— М.,"1981Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. с с р и и: 1980— 1984 Гематология и переливание крови,",Клиническая медицина. Прикладные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,2326.0,15.0,2367.0,15.0,2348.0,20.0,2180.0,20.0,1877.0
2555,Инфекционные и паразитарныеболезни,,Экспресс-информация,/ ВНИИмед. и мед.-техн. информ.,1967,— М.,"1981 —Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980—1984	Вирусология и вирусные инфекции,",Клиническая медицина. Прикладные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,1623.0,15.0,1589.0,15.0,1628.0,20.0,1573.0,20.0,1577.0
2556,Клиническая иммунология,,Экспресс-информация,/ ВНИИ мед. и мед.-техн. информ.,1968,— М.,"1981Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980— 1984 Клиническая иммунология,",Клиническая медицина. Прикладные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,1813.0,15.0,1805.0,15.0,1844.0,20.0,2029.0,20.0,1771.0
2557,Неврология и психиатрия,,Экс-пресс-информация,/ ВНИИ мед. и мед.-техн. информ.,1968,— М.,"1981Ежемес. — Загл.: 1980—1984 Экспресс-информация. — Загл. серии: 1980—1984	Психофармакология,",Клиническая медицина. Прикладные отрасли медицины,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,3074.0,15.0,2898.0,15.0,3340.0,20.0,3045.0,20.0,2830.0
2558,Обзор Всесоюзного центра ногриппу и острым респираторным заболеваниям,,,/ ВНИИ гриппа.,1971,—Л.,1981 — Ежекварт.,Клиническая медицина. Прикладные отрасли медицины,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,10.0,500.0,10.0,500.0,10.0,500.0,2.0,500.0,10.0,500.0
