number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1955,edition 1955,price 1956,edition 1956,price 1957,edition 1957,price 1958,edition 1958,price 1959,edition 1959,price 1960,edition 1960
4844,Здоровье,,,Орган М—ва здравоохранения Киргиз. ССР.,1960,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,175.0,5250.0
4845,Здоровье мира,,,Всемирной организации здравоохранения.,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,270.0,
4846,Здравоохранение,,,,1956,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,300.0,5800.0
4847,Здравоохранение,,,Орган М—ва здравоохранения Молдав. ССР.,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,300.0,5842.0
4848,Здравоохранение,,,Орган М—ва здравоохранения Молдав. ССР.,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,300.0,1575.0
4849,Здравоохранение Белоруссии,,,Орган М—ва здравоохранения БССР.,1955,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,300.0,9667.0
4850,Здравоохранение Казахстана,,,М—во здравоохранения Казах. ССР,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,150.0,3430.0,150.0,2166.0,150.0,2050.0,150.0,1912.0,150.0,2042.0,200.0,2662.0
4851,Здравоохранение Российской Федерации,,,М—во здравоохранения РСФСР,1957,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,250.0,3849.0
4852,Здравоохранение Советской Эстонии,,,Орган М—ва здравоохранения Эстон. ССР.,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,400.0,3000.0,,,400.0,2975.0
4853,Здравоохранение Таджикистана,,,М—во здравоохранения Таджик. ССР,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,300.0,2935.0
4854,Здравоохранение Туркменистана,,,Орган М—ва здравоохранения ТССР.,1957,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,300.0,1800.0
6837,*Известия Академии наук Азербайджанской ССР,См. 6837.,См. 6837.,См. 6837.,См. 6837.,См. 6837.,См. 6837.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,,
6853,*Известия Академии наук Казахской ССР,См. 6853.,См. 6853.,См. 6853.,См. 6853.,См. 6853.,См. 6853.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,,
6885,*Известия Академии наук УзССР,См. 6885.,См. 6885.,См. 6885.,См. 6885.,См. 6885.,См. 6885.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,,
4855,Казанский медицинский журнал,,,Орган М—ва здравоохранения Татар. АССР и Совета науч. мед. обществ.,1901,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,400.0,3025.0
4856,Клиническая медицина,,,М—во здравоохранения СССР,1920,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,300.0,35098.0,300.0,35270.0,600.0,39260.0,600.0,38541.0,600.0,37076.0,600.0,36191.0
4857,Лабораторное дело,,,М—во здравоохранения СССР,1955,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,200.0,6120.0,200.0,8630.0,300.0,13731.0,300.0,15276.0,300.0,16690.0,,
4858,Медицинская промышленность СССР,,,Орган М—ва здравоохранения СССР.,1947,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,300.0,2205.0
4859,Медицинская сестра,,,М—во здравоохранения РСФСР,1942,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,75.0,66560.0,75.0,67360.0,75.0,97363.0,100.0,100831.0,100.0,105519.0,100.0,134143.0
4860,Медицинский журнал Узбекистана,,,М—во здравоохранения  и Акад. наук Узбек. ССР,,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,200.0,3945.0
4861,Охрана здоровья,,,Орган М—ва здравоохранения Литов. ССР.,1956,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,300.0,6600.0
4862,Советская медицина,,,Орган М—ва здравоохранения РСФСР.,1937,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,150.0,58435.0,150.0,60725.0,300.0,60889.0,300.0,58621.0,300.0,48150.0,400.0,42191.0
4863,Советская медицина,,,Орган М—ва здравоохранения Груз. ССР.,1929,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,500.0,5100.0
4864,Советский Красный Крест,,,"Орган Испол. ком—та Союза обществ Красного Креста и Красного Полумесяца СССР. Изд с сент. 1951. Двухмес. М., Медгиз.1955.25.000—25.500 экз. 1 р; 1956.24.700—27.465 экз. 1 р; 1957.25.750—26.650экз. 1 р; 1958.24.702—35.063 экз.1 р; 1959. 33.992—50.578 экз. 1 р. 50 к; 1960. 51.973—61.882 экз. 2 р. 50 к",,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,100.0,25250.0,100.0,26083.0,100.0,26200.0,100.0,29883.0,150.0,42285.0,250.0,56928.0
4865,Советское здравоохранение,,,М—во здравоохранения СССР,1942,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,300.0,15005.0,300.0,13568.0,300.0,11912.0,300.0,10961.0,300.0,11866.0,400.0,7441.0
4866,Советское здравоохранение Киргизии,,,М—ва здравоохранения Киргиз. ССР.,1938,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,300.0,3250.0,300.0,7575.0,,,300.0,3200.0,300.0,3600.0,350.0,3850.0
6939,* Труды Академии наук Литовской ССР,См. 6939.,См. 6939.,См. 6939.,См. 6939.,См. 6939.,См. 6939.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,,
4867,Условия жизни и здоровье,,,Всемирного съезда врачей по изучению современных условий жизни и здоровья.,1956,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,2 раза в год,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,500.0,5450.0,500.0,9975.0,500.0,11000.0,500.0,13254.0,,
4988,*Вопросы клинической медицины,См. 4988.,См. 4988.,См. 4988.,См. 4988.,См. 4988.,См. 4988.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4868,Вопросы практической медицины,,,Рост. нД. гор. больница № 1,1959,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,300.0,500.0,350.0,1000.0
4901,*Вопросы теоретической и клинической медицины,См. 4901.,См. 4901.,См. 4901.,См. 4901.,См. 4901.,См. 4901.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
6960,*Доклады и сообщения,См. 6960.,См. 6960.,См. 6960.,См. 6960.,См. 6960.,См. 6960.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4869,Здравоохранение и медицина в Северной Осетии,,,"М—во здравоохранения Сев.—Осет, АССР. Сев.—Осет. гос. мед. ин—т",1948,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,540.0,1000.0,,,550.0,1000.0,1350.0,1000.0,,,,
4870,Здравоохранение Советской Эстонии,,,М—во здравоохранения Эстон. ССР,1954,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,750.0,775.0,750.0,1500.0,750.0,1000.0,,,,,,
5002,* Материалы по обмену научной информацией,См. 5002.,См. 5002.,См. 5002.,См. 5002.,См. 5002.,См. 5002.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4871,Медицинская наука — практике,,,Акад. наук Латв. ССР. Отд—ние биол. наук,1957,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,400.0,800.0
4872,Методические материалы,,,Яросл. мед. ин—т,1960,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,350.0
4873,Научные записки,,,Станисл. гос. мед. ин—т,1957,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1500.0,550.0,1500.0,600.0,1500.0,2500.0,,
4874,Научные записки,,,Черновиц. гос. мед. ин—т,1948,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,640.0,400.0,640.0,500.0,1255.0,750.0,1370.0,1000.0,1073.0,733.0
4875,Научные известия,,,"Казах, гос. мед. ин—т",1935,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1155.0,1000.0,,,,,1155.0,1000.0,,,1150.0,600.0
4876,Научные работы аспирантов и клинических ординаторов,,,"Центр, ин—т усовершенствования врачей",1952,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1075.0,1000.0,,,1100.0,1600.0,,,1620.0,1800.0,1570.0,1550.0
4877,Научные работы студентов,,,Ташк. гос. мед. ин—т. Студенческое науч. о—во,1956,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,1800.0,1000.0,,
4879,* Научные труды врачей Мордовской АССР и научных сотрудников Рязанского медицинского института им акад И П Павлова,См. 4879.,См. 4879.,См. 4879.,См. 4879.,См. 4879.,См. 4879.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4970,*Научные труды,См. 4970.,См. 4970.,См. 4970.,См. 4970.,См. 4970.,См. 4970.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4977,*Научные труды,См. 4977.,См. 4977.,См. 4977.,См. 4977.,См. 4977.,См. 4977.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4878,Научные труды,,,Кубан. гос. мед. ин—т им. Красной Армии,1921,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1000.0,1000.0,3000.0,500.0,1300.0,1000.0,1000.0,1500.0
4879,Научные труды,,,Рязан. мед. ин—т им. акад. И. П. Павлова,1959,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,1200.0,625.0,700.0,1000.0,1147.0,1400.0,1825.0,1000.0
4880,Научные труды,,,Самарк. мед. ин—т им. акад. И. П. Павлова,1937,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,300.0,500.0,300.0,450.0,300.0,700.0,300.0,450.0,,,1022.0,1333.0
5005,*Научные труды,См. 5005.,См. 5005.,См. 5005.,См. 5005.,См. 5005.,См. 5005.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4881,Новости медицинской техники,,,Всесоюз. науч.—исслед. ин—т мед. инструментов и оборудования «ВНИИМИиО»,1954,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1200.0,400.0,1200.0,563.0,1200.0,850.0,1200.0,850.0,1100.0,867.0,700.0,1000.0
4882,Реферативный сборник работ Студенческого научного общества,,,"Киргиз, гос. мед. ин—т",1947,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,200.0,350.0,,
4883,Сборник в помощь участковым врачам,,,Тбилис. гос. ин—т усовершенствования врачей,1950,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,475.0,1500.0,475.0,1500.0,,,475.0,1500.0,475.0,2000.0,580.0,2000.0
4884,Сборник материалов научных конференций лечебных учреждений Ярославского горздравотдела,,,лечебных учреждений Ярославского горздравотдела,1959,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,1260.0,1000.0,,
4978,* Сборник медицинского института,См. 4978.,См. 4978.,См. 4978.,См. 4978.,См. 4978.,См. 4978.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4885,Сборник научно—практических работ врачей Тамбовской области,,,Тамб. обл. отд. здравоохранения,1955,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,1200.0,2000.0,1200.0,2000.0,,,,,700.0,1500.0,,
4886,Сборник научно—практических трудов медицинских учреждений Московско—Окско—Волжского водздравотдела,,,Московско—Окско—Волжского водздравотдела,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,500.0,,500.0,,500.0
4887,Сборник научных работ,,,"Белорус, гос. ин—т усовершенствования врачей",1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,1300.0,1000.0,,,1925.0,1000.0
4888,Сборник научных работ,,,Витеб. гос. мед. ин—т,1938,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,1000.0,,500.0,,500.0,,500.0,,
4930,* Сборник научных работ,См. 4930.,См. 4930.,См. 4930.,См. 4930.,См. 4930.,См. 4930.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,,,,,
4889,Сборник научных работ врачей Башкирикой республиканской специализированной клинической больницы,,,Башкирикой республиканской специализированной клинической больницы,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ТРУДЫ И СБОРНИКИ,,,,,,,,1000.0,,,,
