number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1966,edition 1966,price 1967,edition 1967,price 1968,edition 1968,price 1969,edition 1969,price 1970,edition 1970
603,Вестник рентгенологии и радиологии,,,М-во здравоохранения СССР. Всесоюз. науч. о-во рентгенологов и радиологов,1920,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,15557.0,50.0,15740.0,50.0,15833.0,50.0,16405.0,,
604,Вестник хирургии им И И Грекова,,,М-во здравоохранения СССР. Всесоюз. о-во хирургов. Хирургич. о-во Пирогова,1885,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,13947.0,60.0,14619.0,,,60.0,15606.0,60.0,16401.0
605,Военно-медицинский журнал,,,"Центр, воен.-мед. упр. М-ва обороны СССР",1823,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,,30.0,,30.0,,30.0,,30.0,
606,Вопросы вирусологии,,,Акад. мед. наук СССР,1956,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,3283.0,60.0,3178.0,60.0,2975.0,60.0,3010.0,60.0,3030.0
607,"Вопросы курортологии, физиотерапии и лечебной физической культуры",,,М-во здравоохранения СССР. Всесоюз. науч. о-во физиотерапевтов и курортологов и Всесоюз. науч. о-во врачебного контроля и лечебной физ. культуры,1923,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,8538.0,40.0,9096.0,40.0,9466.0,40.0,10322.0,,
608,Вопросы медицинской химии,,,Акад. мед. наук СССР,1955,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,,,65.0,2256.0,65.0,2203.0,65.0,2253.0,65.0,2346.0
609,Вопросы нейрохирургии,,,М-во здраво-охранения СССР. Всесоюз. науч. о-но нейрохирургов,1937,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,3224.0,40.0,3157.0,40.0,3134.0,40.0,3203.0,40.0,3379.0
610,Вопросы онкологии,,,М-во здравоохранения СССР. Всесоюз. науч. о-во онкологов,1955,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,4940.0,60.0,5168.0,60.0,5119.0,60.0,5290.0,60.0,5433.0
611,Вопросы охраны материнства и детства,,,М-во здравоохранения РСФСР,1956,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,14713.0,40.0,15126.0,40.0,15249.0,40.0,16102.0,40.0,17818.0
612,Вопросы питания,,,М-во здравоохранения СССР. Всесоюз. науч. о-во гигиенистов,1932,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,8123.0,50.0,8816.0,50.0,8870.0,50.0,9741.0,50.0,10790.0
613,Вопросы ревматизма,,,М-во здравоохранения СССР. Всесоюз. науч. ревматол. о-во,1961,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежекварт,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,10195.0,50.0,10498.0,50.0,10131.0,50.0,10735.0,50.0,11580.0
614,Врачебное дело,,,М-во здравоохранения УССР,1918,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,16692.0,40.0,20329.0,40.0,21002.0,40.0,24111.0,40.0,23781.0
615,Гигиена и санитария,,,М-во здравоохранения СССР. Всесоюз. науч. о-во гигиенистов,1936,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,11656.0,40.0,12298.0,40.0,11105.0,40.0,13275.0,40.0,14244.0
616,Гигиена труда и профессиональные заболевания,,,М-во здравоохранения СССР. Всесоюз. науч. о-во гигиенистов,1957,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,7872.0,40.0,8532.0,40.0,9095.0,40.0,9986.0,40.0,10801.0
617,Грудная хирургия,,,М-во здравоохранения СССР. Всесоюз. науч. о-во хирургов,1959,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,3219.0,60.0,3133.0,60.0,3099.0,60.0,3159.0,60.0,3155.0
618,Журнал высшей нервной деятельности им,,,АН СССР,1951,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,175.0,2408.0,175.0,2325.0,175.0,2240.0,175.0,2240.0,175.0,2143.0
619,"Журнал микробиологии, эпидемиологии и иммунобиологии",,,"М-во здравоохранения СССР. Всесоюз. науч. о-во эпидемиологов, микробиологов и инфекционистов им. И. И. Мечникова",1924,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,8998.0,60.0,8951.0,60.0,8904.0,60.0,9129.0,60.0,9363.0
620,Журнал невропатологии и психиатрии им,,,М-во здравоохранения СССР. Всесоюз. о-во невропатологов и психиатров,1901,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,14551.0,60.0,15597.0,60.0,15993.0,60.0,17728.0,60.0,18857.0
621,"Журнал ушных, носовых и горловых болезней",,,М-во здравоохранения УССР. Укр. науч. о-во отоларингологов,1924,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,5487.0,60.0,6271.0,60.0,6573.0,60.0,7246.0,60.0,7770.0
235,Журнал эволюционной биохимии и физиологии. Л,См. 235.,См. 235.,См. 235.,См. 235.,См. 235.,См. 235.,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,,,,,,,,,,
622,Журнал экспериментальной и клинической медицины ,Экспериментал ев кли-никакаи бжшкутяи андес,,АН АрмССР,1961,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,750.0,40.0,750.0,40.0,750.0,,,,
623,Здоровье,,,м-в здравоохранения СССР и РСФСР.,1955,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,20.0,5150000.0,20.0,8000000.0,20.0,8250000.0,20.0,9647500.0,20.0,11045000.0
624,Здоровье ,Vesellba,,М-.ва здравоохранения ЛатвССР.,1958,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,20.0,128000.0,20.0,143500.0,20.0,160000.0,20.0,159000.0,20.0,169500.0
625,Здоровье ,Ден соолук,,Орган М-ва здравоохранения КиргССР.,1960,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,20.0,49705.0,20.0,60903.0,20.0,70784.0,20.0,78592.0,,
626,Здоровье мира,,,Всемирной организации здравоохранения.,1948,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,27.0,,27.0,,27.0,,27.0,,27.0,
627,Здравоохранение ,Sveikatos apsau-ga,,М-ва здравоохранения ЛССР.,1956,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,7789.0,30.0,8065.0,,,30.0,7879.0,30.0,7818.0
628,Здравоохранение ,Арохчапаутюн,,М-ва здравоохранения АрмССР.,1956,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,24600.0,30.0,32775.0,30.0,41550.0,30.0,54021.0,30.0,68000.0
629,Здравоохранение ,Окротиря сэнэтэ-ций,,Орган М-ва здравоохранения МССР.,1958,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,2517.0,30.0,3472.0,30.0,4584.0,30.0,4847.0,,
630,Здравоохранение,,,Орган М-ва здравоохранения МССР.,1958,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,7104.0,30.0,8194.0,30.0,8945.0,30.0,9367.0,30.0,9372.0
631,Здравоохранение Белоруссии,,,Орган М-ва здравоохранения БССР.,1955,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,14173.0,30.0,15609.0,30.0,15484.0,30.0,16977.0,30.0,16919.0
632,Здравоохранение Казахстана,,,М-ва здравоохранения КазССР.,1941,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,14000.0,30.0,14169.0,30.0,15283.0,,,30.0,16695.0
633,Здравоохранение Российской Федерации,,,М-во здравоохранения РСФСР,1957,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,25.0,5820.0,25.0,5884.0,25.0,5469.0,25.0,5936.0,25.0,6270.0
634,Здравоохранение Советской Эстонии ,Noukogude Eesti Tervishoid,,Орган М-ва здравоохранения ЭССР.,,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,4910.0,40.0,3175.0,40.0,5410.0,40.0,5385.0,40.0,5150.0
635,Здравоохранение Таджикистана,,,М-во здравоохранения ТаджССР,1954,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,2200.0,30.0,2638.0,30.0,2750.0,30.0,2775.0,30.0,3190.0
636,Здравоохранение Туркменистана,,,Орган М-ва здравоохранения ТССР.,1957,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,3845.0,30.0,3900.0,30.0,4140.0,30.0,4600.0,30.0,4500.0
637,Казанский медицинский журнал,,,Орган М-ва здравоохранения ТАССР и Совета науч.-мед. о-в.,1901,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,4175.0,40.0,5155.0,40.0,5363.0,40.0,6520.0,40.0,6470.0
638,Кардиология,,,М-во здравоохранения СССР. Всесоюз. науч. кардиол. о-во,1961,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,70.0,10195.0,70.0,7086.0,70.0,9186.0,70.0,10038.0,70.0,11303.0
639,Клиническая медицина,,,М-во здравоохранения СССР,1920,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,38459.0,60.0,39959.0,60.0,38857.0,60.0,39649.0,60.0,40438.0
640,Клиническая хирургия,,,Орган М-ва здравоохранения УССР.,1921,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,6556.0,50.0,7301.0,50.0,7285.0,50.0,7602.0,50.0,8438.0
236,Космическая биология и медицина.,См. 236.,См. 236.,См. 236.,См. 236.,См. 236.,См. 236.,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,,,,,,,,,,
641,Кровообращение,,,АН АрмССР,1968,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,,,,,30.0,1625.0,30.0,1905.0,30.0,2860.0
642,Лабораторное дело,,,М-во здравоохранения СССР. Всесоюз. науч. о-во вра-чей-лаборантов,1955,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,20810.0,30.0,26525.0,30.0,21657.0,30.0,23441.0,30.0,24561.0
643,Медицинская паразитология и паразитарные болезни,,,"М-во здравоохранения СССР. Всесоюз. науч. мед. о-во эпидемиологов, микробиологов и инфекционистов им. И. И. Мечникова",1923,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,3878.0,60.0,3870.0,60.0,3854.0,60.0,3954.0,60.0,4050.0
644,Медицинская промышленность СССР,,,Орган М-ва здравоохранения СССР.,1947,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,2574.0,,,,,,,,
645,Медицинская радиология,,,Акад. мед. наук СССР,1956,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,2810.0,40.0,2681.0,40.0,2646.0,40.0,2700.0,40.0,3248.0
646,Медицинская сестра,,,М-во здравоохранения РСФСР,1942,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,10.0,267676.0,10.0,298838.0,10.0,324188.0,10.0,368732.0,10.0,401215.0
647,Медицинская техника,,,М-ва мед. пром-сти СССР и Все-союз. науч. мед.-техн. о-ва.,1967,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,,,30.0,2238.0,30.0,3238.0,30.0,3748.0,30.0,4880.0
648,Медицинский журнал Узбекистана,,,М-зо здравоохранения УзССР,1922,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,20.0,7625.0,20.0,7250.0,20.0,11730.0,20.0,12120.0,20.0,15175.0
649,Нейрофизиология,,,АН СССР. АН УССР. Иш-т физиологии им. А. А. Богомольца,1969,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,90.0,894.0,90.0,894.0,90.0,894.0,90.0,894.0,90.0,894.0
650,"Ортопедия, травматология и протезирование",,,М-во здравоохранения СССР. Всесоюз. науч. о-во травматоло-гов-оргопедов,1927,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,7168.0,50.0,7533.0,50.0,7749.0,50.0,8108.0,50.0,9235.0
651,Офтальмологический журнал,,,М-во здравоохранения УССР,1946,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,8 раз в год,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,6262.0,50.0,6994.0,50.0,7206.0,50.0,7554.0,50.0,7929.0
652,Патологическая физиология и экспериментальная терапия,,,Акад. мед. наук СССР,1957,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,2275.0,60.0,2404.0,60.0,2217.0,60.0,2300.0,60.0,2485.0
653,Педиатрия,,,М-во здравоохранения СССР. Всесоюз. .науч. о-во дет. врачей,1922,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,35.0,48493.0,35.0,50332.0,35.0,48599.0,35.0,50588.0,35.0,52420.0
654,"Педиатрия, акушерство и гинекология ","Пед1атр1я, акушерство i пнеколопя",,Орган М-ва здравоохранения УССР.,1936,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,8013.0,50.0,8546.0,50.0,8175.0,50.0,9221.0,50.0,8554.0
655,Проблемы гематологии и переливания крови,,,М-во здравоохранения СССР,1956,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,5423.0,30.0,5602.0,30.0,5691.0,30.0,6290.0,30.0,6908.0
656,Проблемы туберкулеза,,,М-во здравоохранения СССР. Всесоюз. науч. о-во фтизиатров,1923,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,35.0,18700.0,35.0,19709.0,35.0,19085.0,35.0,19539.0,35.0,19592.0
657,Проблемы эндокринологии,,,М-во здравоохранения СССР. Всесоюз. науч. о-во эндокринологов,1955,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,4736.0,60.0,5150.0,60.0,5239.0,60.0,5179.0,60.0,5563.0
658,Советская медицина,,,Орган М-ва здравоохранения РСФСР.,1937,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,27599.0,40.0,27330.0,40.0,25817.0,40.0,25779.0,40.0,24910.0
659,Советская медицина ,Сабчота медицина,,Орган М-ва здравоохранения ГССР.,1922,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,5050.0,50.0,9350.0,50.0,8612.0,50.0,11800.0,50.0,11250.0
660,Советский Красный Крест,,,Орган Испол. ком. ордена Ленина Союза о-в Красного Креста и Красного Полумесяца СССР.,1951,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,25.0,218465.0,25.0,255507.0,25.0,316167.0,25.0,322324.0,25.0,389122.0
661,Советское здравоохранение,,,М-во здравоохранения СССР,1942,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,11358.0,40.0,12119.0,40.0,13240.0,40.0,14425.0,40.0,15710.0
662,Советское здравоохранение Киргизии,,,М-ва здравоохранения КиргССР.,1938,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,35.0,4928.0,35.0,6104.0,35.0,6603.0,35.0,6722.0,35.0,8083.0
663,Стоматология,,,М-во здравоохранения СССР. Всесоюз. науч. о-во стоматологов,1922,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,44845.0,50.0,46278.0,50.0,45033.0,50.0,46454.0,50.0,49206.0
664,Судебномедицинская экспертиза,,,М-во здравоохранения СССР. Всесоюз. науч. о-во судебных медиков,1958,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежекварт,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,9229.0,40.0,10908.0,40.0,9966.0,40.0,10280.0,,
665,Терапевтический архив,,,М-во здравоохранения СССР. Всесоюз. науч. о'-во терапевтов,1923,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,15284.0,60.0,16944.0,60.0,17079.0,60.0,18086.0,60.0,19387.0
666,Урология и нефрология,,,М-во здравоохранения СССР. Всесоюз. науч. о-во урологов,1923,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,6592.0,50.0,6973.0,50.0,7125.0,50.0,7659.0,50.0,8312.0
667,Фармакология и токсикология,,,Акад. мед. наук СССР,1938,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,55.0,3788.0,55.0,3614.0,55.0,3366.0,55.0,3554.0,55.0,3844.0
668,Фармацевтический журнал ,Фарма-цевтйчний журнал,,М-во здравоохранения УССР,1928,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,10205.0,40.0,12339.0,40.0,11195.0,40.0,11760.0,40.0,12341.0
669,Фармация,,,М-во здравоохранения.СССР. Всесоюз. науч. фармац. о-во,1952,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,22687.0,40.0,23113.0,40.0,22408.0,40.0,23617.0,40.0,24330.0
670,Фельдшер и акушерка,,,М-во здравоохранения СССР. М-во 'здравоохранения РСФСР,1936,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,18.0,191440.0,18.0,201564.0,18.0,215451.0,18.0,235591.0,18.0,242054.0
671,Химико-фармацевтический журнал,,,М-ва мед. пром-сти СССР.,1967,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,,,30.0,2082.0,30.0,2214.0,30.0,2557.0,30.0,2916.0
672,Хирургия,,,М-во здравоохранения СССР. Всесоюз. науч. о-во хируогоз,1925,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,21656.0,60.0,22129.0,60.0,21355.0,60.0,21442.0,60.0,22042.0
