number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1961,edition 1961,price 1962,edition 1962,price 1963,edition 1963,price 1964,edition 1964,price 1965,edition 1965
4233,Здоровье ,Veseliba,,М-ва здравоохранения АССР,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,20.0,100750.0,20.0,110000.0,20.0,126500.0,20.0,127300.0,20.0,125500.0
4234,Здоровье ,Ден соолук,,Орган М-ва здравоохранения Кирг. ССР),1960,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,20.0,8237.0,20.0,13450.0,20.0,19350.0,20.0,27191.0,,
4235,Здоровье мира,,,Всемирной организации здравоохранения.,1948,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,27.0,,27.0,,27.0,,27.0,,27.0,
4236,Здравоохранение ,Sveikatos apsauga,,М-ва здравоохранения Литов. ССР.,1956,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,6805.0,30.0,7230.0,30.0,6910.0,30.0,7003.0,,
4237,Здравоохранение ,Арохчапаутюн,,М-ва здравоохранения Арм. ССР,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,7975.0,30.0,6650.0,30.0,11150.0,,,,
4238,Здравоохранение ,Пэзиря сэнэтэ-ций,,Орган М-ва здравоохранения Молдав. ССР.),1958,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,1588.0,30.0,1600.0,30.0,1407.0,,,,
4239,Здравоохранение,,,Орган М-ва здравоохранения Молдав. ССР.,1958,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,5415.0,30.0,5640.0,30.0,5322.0,30.0,7070.0,30.0,6855.0
4240,Здравоохранение Белоруссии,,,Орган М-ва здравоохранения БССР.,1955,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,11828.0,30.0,11843.0,30.0,12124.0,30.0,12502.0,30.0,13365.0
4241,Здравоохранение Казахстана,,,М-ва здравоохранения Каз. ССР.,1941,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,2527.0,30.0,2533.0,30.0,2818.0,30.0,9550.0,,
4242,Здравоохранение Российской Федерации,,,М-во здравоохранения РСФСР,1957,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,25.0,3986.0,25.0,3942.0,25.0,5136.0,25.0,4889.0,25.0,4863.0
4243,Здравоохранение Советской Эстонии ,Noukogude Eesti tervishoid,,Орган М-ва здравоохранения Эст. ССР.),1958,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,40.0,2850.0,40.0,3695.0,40.0,4135.0,40.0,4265.0,40.0,4850.0
4244,Здравоохранение ТаджикистаИзд,,,М-во здравоохранения Тадж. ССР,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,1700.0,,,30.0,2135.0,30.0,2040.0,30.0,2313.0
4245,Здравоохранение Туркменистана,,,Орган М-ва здравоохранения ТССР.,1957,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,2260.0,30.0,2000.0,30.0,3375.0,30.0,3650.0,30.0,3715.0
6113,Известия Академии наук Азербайджанской ССР (Азэрбаршн ССР елмлэр акаде-мщасыпын хэбэрлэри),См. 6113.,См. 6113.,См. 6113.,См. 6113.,См. 6113.,См. 6113.,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,,,,,,,,,,
4231,Известия Академии наук Армянской ССР (Айкакан ССР гитутюннери академиайи техекагир),См. 4231.,См. 4231.,См. 4231.,См. 4231.,См. 4231.,См. 4231.,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,,,,,,,,,,
6129,Известия Академии наук Казахской ССР,См. 6129.,См. 6129.,См. 6129.,См. 6129.,См. 6129.,См. 6129.,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,,,,,,,,,,
6196,Известия Сибирского отделения Академии паук СССР,См. 6196.,См. 6196.,См. 6196.,См. 6196.,См. 6196.,См. 6196.,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,,,,,,,,,,
4246,Казанский медицинский журна Орган М-ва здравоохранения Татар,,,Орган М-ва здравоохранения Татар. АССР и Совета науч. мед. о-в.,1901,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,40.0,3143.0,40.0,1398.0,40.0,3106.0,40.0,3250.0,,
4247,Клиническая медицина,,,М-во здравоохранения СССР,1920,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,60.0,38810.0,60.0,39586.0,60.0,38984.0,60.0,36285.0,60.0,37565.0
4248,Лабораторное дело,,,М-во здравоохранения СССР,1955,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,15719.0,30.0,17147.0,30.0,18187.0,30.0,17726.0,30.0,20072.0
4249,Медицинскаяпромышленность СССР,,,Орган М-ва здравоохранения СССР.,1947,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,2136.0,30.0,2332.0,30.0,2240.0,30.0,2494.0,30.0,2524.0
4250,Медицинская сестра,,,М-во здравоохранения РСФСР,1942,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,10.0,148998.0,10.0,151896.0,10.0,175914.0,10.0,197860.0,10.0,228060.0
4251,Медицинский журнал Узбекистана,,,М-во здравоохранения и Акад. наук СССР,1922,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,20.0,4575.0,20.0,4472.0,20.0,4645.0,20.0,5032.0,20.0,6550.0
4252,Советская медицина,,,Орган М-ва здравоохранения РСФСР.,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,40.0,39004.0,,,40.0,34478.0,,,40.0,28209.0
4253,Советская медицина ,Сабчута метла,,Орган М-ва здравоохранения Груз. ССР.,1922,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,50.0,5750.0,,,50.0,4500.0,50.0,5200.0,50.0,5000.0
4254,Советский Красный Крест,,,Орган Испол. ком-та Союза о-в Красного Креста и Красного Полумесяца СССР.,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,25.0,79255.0,25.0,93493.0,25.0,102706.0,,,25.0,167023.0
4255,Советское здравоохранение,,,М-во здра->хранения СССР,1942,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,40.0,11245.0,40.0,11382.0,40.0,11520.0,40.0,11180.0,,
4256,Советское здравоохранение Киргизии,,,М-во здравоохранения Кирг. ССР,1938,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,35.0,4750.0,35.0,4450.0,35.0,5000.0,35.0,3175.0,35.0,5407.0
4257,Актуальные вопросы практической медицины,,,Моск. гор. клинич. больница вып. 52,1961,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,111.0,1000.0,,
890,Биологическая и медицинская электроника,См. 890.,См. 890.,См. 890.,См. 890.,См. 890.,См. 890.,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,,
899,Вопросы биологии и краевой медицины,См. 899.,См. 899.,См. 899.,См. 899.,См. 899.,См. 899.,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,,
4258,Вопросы методики преподавания и организации учебного процесса,,,Чит. гос. мед. ин-т,1964,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,50.0,300.0,45.0,500.0
4259,Вопросы практической медицины,,,Рост. нД гор. больница вып. 1,1969,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,40.0,1000.0,35.0,1000.0,,,,,,
6243,Доклады и сообщения Серия медицинская,См. 6243.,См. 6243.,См. 6243.,См. 6243.,См. 6243.,См. 6243.,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,,
4260,Доклады по медицинской географии,,,Геогр. о-во СССР. Отд. мед. географии,1961,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,25.0,1500.0,,,,,42.0,500.0,77.0,500.0
4261,Ежегодник Труды Ин-та эксперим,,,Ин-та эксперим. медицины АМН СССР.,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,300.0,10000.0,,,,
4262,Ежегодник научных работ,,,Ин-т усовершенствования врачей,1965,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,150.0,1000.0
4263,Из истории медицины,,,Латв. науч. ист.-мед. о-во,1957,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,96.0,1000.0,153.0,2000.0,96.0,550.0,,
4264,Клиническая и экспериментальная медицина ,Kllniska im eksperimentala mediema,,Ин-т клинич. и эксперим. медицины,1962,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,134.0,1000.0,,,,,137.0,1500.0
4265,Материалы к научной конференции института,,,Челяб. гос. мед. ин-т,1965,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,172.0,500.0
4266,Материалы конференции молодых научных работников,,,Азербайдж. гос. мед. ин-т им. Н. Нариманова,1960,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,40.0,500.0,,,40.0,500.0,40.0,500.0
4267,Материалы конференции молодых ученых,,,Дагест. гос. мед. ин-т,1962,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,82.0,700.0
4268,Материалы теоретической и клинической медицины,,,Томский мед. ин-т,1962,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,56.0,600.0,85.0,700.0,50.0,700.0,122.0,500.0
4269,Медицина за рубежом Реферативный сборник Болезни крови М,,,Всесоюз. науч.-исслед. ин-т мед. и мед.-техн. информации,1965,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,56.0,13000.0
4270,Медицина за рубежом Реферативный сборник Вопросы онкологии М,,,Всесоюз. науч.-исслед. ин-т мед. и мед.-техн. информации,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,,
4271,Медицина за рубежом Реферативный сборник Вопросы организации здравоохранения и истории медицины,,,Всесоюз. науч.-исслед. ин-т мед. и мед.-техн. информации,1964,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,50.0,13000.0,,
4272,Медицина за рубежом Реферативный сборник Вопросы фармации и аптечного дела,,,Всесоюз. науч.-исслед. ин-т мед. и мед.-техн. информации,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,,
4273,"Медицина за рубежом Реферативный сборник Гигиена воздуха, воды и почвы",,,Всесоюз. науч.-исслед. ин-т мед. и мед.-техн. информации,1964,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,56.0,1700.0,,
4274,Медицина за рубежом Реферативный сборник Заболевания сердечно-сосудистой системы,,,Всесоюз. науч.-исслед. ин-т мед. и мед.-техн. информации,1964,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,42.0,1850.0,,
4275,Медицина за рубежом Реферативный сборник Медицинская техника,,,Всесоюз. науч.-исслед. ин-т мед. и мед.-техн. информации,1964,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,43.0,1350.0,,
4276,Медицина за рубежом Реферативный сборник М,,,Всесоюз. науч.-исслед. ин-т мед. и мед.-техн. информации,1964,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,33.0,2000.0,,
4277,Медицина за рубежом,,,Акад. мед. наук СССР. Отд. науч. мед. информации,1961,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,100.0,1500.0,,,,,,,,
4278,Медицинская география,,,Омский отд. Геогр. о-ва СССР,1965,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,44.0,500.0
4279,Научные записки ,Науков1 записки,,Ивапово-Франков. гос. мед. ин-т,1957,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,110.0,1000.0,60.0,1000.0,,,,,,
4280,Научные записки,,,Черновиц. гос. мед. ин-т,1948,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,65.0,2500.0,175.0,600.0,,,,,,
4281,Научные работы аспирантов и клинических ординаторов,,,"Центр, ин-т усовершенствования врачей",1952,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,173.0,700.0,,,157.0,1000.0,,
4282,Научные работы врачей Мордовской АССР,,,М-во здравоохранения Мордов. АССР. Совет науч. мед. о-в МАССР,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,110.0,1000.0,,,,
4283,Научные работы студентов Куйбышевского мединститута,,,Куйбышевского мединститута,1958,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,20.0,500.0,,,,,,,,
4284,Научные работы студентов,,,Ташк. гос. мед. ин-т. Студенческое науч. о-во,1956,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,168.0,1000.0,,,,,,,,
6300,Научные труды высших учебных заведений Литовской ССР (Lietuvos TSR aukstqju mokyklu mokslo darbai)Медицина,См. 6300.,См. 6300.,См. 6300.,См. 6300.,См. 6300.,См. 6300.,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1961 - 1965,ТРУДЫ И СБОРНИКИ,,,,,,,,,,
